entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,exit_reason,pnl_ticks,gross_pnl_usd,costs_usd,net_pnl_usd
2025-01-31 14:27:00+00:00,2025-01-31 14:30:00+00:00,long,21774.5,21774.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-01-31 18:39:00+00:00,2025-01-31 18:42:00+00:00,long,21786.0,21785.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-01-31 19:48:00+00:00,2025-01-31 19:51:00+00:00,long,21636.25,21636.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-05 13:33:00+00:00,2025-02-05 13:36:00+00:00,short,21509.75,21520.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-05 14:30:00+00:00,2025-02-05 14:33:00+00:00,short,21523.75,21534.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-05 14:51:00+00:00,2025-02-05 14:54:00+00:00,short,21547.0,21557.25,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-05 16:15:00+00:00,2025-02-05 16:18:00+00:00,short,21571.5,21581.75,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-05 17:51:00+00:00,2025-02-05 17:54:00+00:00,short,21703.75,21714.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-05 18:24:00+00:00,2025-02-05 18:27:00+00:00,short,21681.0,21681.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-07 16:18:00+00:00,2025-02-07 16:21:00+00:00,long,21730.75,21720.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-07 17:06:00+00:00,2025-02-07 17:09:00+00:00,long,21666.25,21656.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-07 18:03:00+00:00,2025-02-07 18:06:00+00:00,long,21703.25,21703.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-07 19:42:00+00:00,2025-02-07 19:45:00+00:00,long,21611.25,21601.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-11 16:15:00+00:00,2025-02-11 16:18:00+00:00,short,21826.25,21836.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-17 16:30:00+00:00,2025-02-17 16:45:00+00:00,short,22244.25,22244.5,1,5,stop,-1.0,-5.0,4.5,-9.5
2025-02-18 14:51:00+00:00,2025-02-18 14:54:00+00:00,long,22210.25,22210.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-20 13:36:00+00:00,2025-02-20 13:42:00+00:00,short,22190.25,22200.5,1,2,stop,-41.0,-205.0,4.5,-209.5
2025-02-20 14:24:00+00:00,2025-02-20 14:30:00+00:00,short,22209.5,22209.75,1,2,stop,-1.0,-5.0,4.5,-9.5
2025-02-21 13:48:00+00:00,2025-02-21 13:54:00+00:00,short,22232.25,22232.5,1,2,stop,-1.0,-5.0,4.5,-9.5
2025-02-24 14:30:00+00:00,2025-02-24 14:33:00+00:00,long,21781.25,21771.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-02-24 15:09:00+00:00,2025-02-24 15:12:00+00:00,long,21529.75,21529.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-25 13:33:00+00:00,2025-02-25 13:36:00+00:00,short,21420.25,21420.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-25 13:57:00+00:00,2025-02-25 14:00:00+00:00,short,21403.75,21404.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-25 14:24:00+00:00,2025-02-25 14:27:00+00:00,short,21365.5,21365.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-26 16:54:00+00:00,2025-02-26 16:57:00+00:00,short,21376.25,21376.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-26 17:18:00+00:00,2025-02-26 17:21:00+00:00,short,21382.25,21382.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-26 17:39:00+00:00,2025-02-26 17:42:00+00:00,short,21319.25,21319.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-27 14:30:00+00:00,2025-02-27 14:33:00+00:00,long,21357.0,21356.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-02-27 15:09:00+00:00,2025-02-27 15:12:00+00:00,long,21019.75,21019.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-04 13:30:00+00:00,2025-03-04 13:33:00+00:00,long,20294.0,20293.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-04 14:24:00+00:00,2025-03-04 14:27:00+00:00,long,20366.25,20366.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-04 14:45:00+00:00,2025-03-04 14:48:00+00:00,long,20370.75,20370.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-04 15:30:00+00:00,2025-03-04 15:33:00+00:00,long,20211.5,20211.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-05 13:30:00+00:00,2025-03-05 13:33:00+00:00,long,20457.75,20457.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-05 14:12:00+00:00,2025-03-05 14:15:00+00:00,long,20440.75,20440.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-05 14:39:00+00:00,2025-03-05 14:42:00+00:00,long,20433.0,20432.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-05 16:57:00+00:00,2025-03-05 17:00:00+00:00,long,20338.5,20338.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-06 16:21:00+00:00,2025-03-06 16:24:00+00:00,short,20396.25,20396.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-12 13:42:00+00:00,2025-03-12 13:45:00+00:00,short,19686.0,19696.25,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-03-14 14:21:00+00:00,2025-03-14 14:24:00+00:00,long,19510.25,19510.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-17 15:15:00+00:00,2025-03-17 15:18:00+00:00,long,19718.75,19718.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-17 16:36:00+00:00,2025-03-17 16:39:00+00:00,long,19700.25,19690.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-03-20 13:54:00+00:00,2025-03-20 13:57:00+00:00,short,19692.25,19702.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-03-20 17:30:00+00:00,2025-03-20 17:33:00+00:00,long,19665.75,19665.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-20 18:36:00+00:00,2025-03-20 18:39:00+00:00,long,19639.75,19629.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-03-20 19:30:00+00:00,2025-03-20 19:33:00+00:00,long,19657.0,19656.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-25 13:48:00+00:00,2025-03-25 13:51:00+00:00,short,20375.25,20375.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-31 16:54:00+00:00,2025-03-31 16:57:00+00:00,short,19231.75,19232.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-31 17:15:00+00:00,2025-03-31 17:18:00+00:00,short,19263.25,19263.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-31 18:45:00+00:00,2025-03-31 18:48:00+00:00,short,19351.75,19362.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-03-31 19:24:00+00:00,2025-03-31 19:27:00+00:00,short,19381.75,19382.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-03-31 19:45:00+00:00,2025-03-31 19:48:00+00:00,short,19429.5,19429.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-01 13:45:00+00:00,2025-04-01 13:48:00+00:00,long,19435.25,19435.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-01 14:21:00+00:00,2025-04-01 14:24:00+00:00,long,19315.0,19314.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-02 15:00:00+00:00,2025-04-02 15:03:00+00:00,short,19598.25,19608.5,1,1,stop,-41.0,-205.0,4.5,-209.5
