entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,exit_reason,pnl_ticks,gross_pnl_usd,costs_usd,net_pnl_usd
2024-01-18 19:18:00+00:00,2024-01-18 19:21:00+00:00,short,17054.5,17064.75,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-01-19 17:39:00+00:00,2024-01-19 17:42:00+00:00,short,17297.5,17307.75,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-01-19 19:15:00+00:00,2024-01-19 19:18:00+00:00,short,17416.5,17416.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2024-01-19 19:33:00+00:00,2024-01-19 19:36:00+00:00,short,17392.5,17392.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2024-01-24 14:24:00+00:00,2024-01-24 14:27:00+00:00,short,17680.75,17691.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-02-02 15:30:00+00:00,2024-02-02 15:33:00+00:00,short,17555.25,17565.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-02-02 16:00:00+00:00,2024-02-02 16:03:00+00:00,short,17609.25,17619.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-02-02 19:42:00+00:00,2024-02-02 19:45:00+00:00,short,17759.0,17769.25,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-02-15 14:45:00+00:00,2024-02-15 14:48:00+00:00,long,17863.0,17852.75,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-03-01 19:21:00+00:00,2024-03-01 19:24:00+00:00,short,18351.75,18352.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2024-03-01 19:39:00+00:00,2024-03-01 19:42:00+00:00,short,18337.75,18348.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-03-05 18:51:00+00:00,2024-03-05 18:54:00+00:00,long,17900.75,17890.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-03-05 20:00:00+00:00,2024-03-05 20:03:00+00:00,long,17870.75,17870.25,1,1,stop,-2.0,-10.0,4.5,-14.5
2024-03-12 19:00:00+00:00,2024-03-12 19:03:00+00:00,short,18190.25,18200.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-03-12 19:57:00+00:00,2024-03-12 20:00:00+00:00,short,18226.5,18226.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2024-03-14 13:54:00+00:00,2024-03-14 13:57:00+00:00,long,18017.25,18007.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-03-18 13:42:00+00:00,2024-03-18 13:45:00+00:00,short,18330.5,18340.75,1,1,stop,-41.0,-205.0,4.5,-209.5
2024-03-19 17:51:00+00:00,2024-03-19 17:57:00+00:00,short,18250.75,18261.0,1,2,stop,-41.0,-205.0,4.5,-209.5
2024-03-20 18:33:00+00:00,2024-03-20 18:36:00+00:00,short,18299.5,18299.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2024-03-26 19:45:00+00:00,2024-03-26 19:48:00+00:00,long,18473.25,18473.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2024-03-27 13:45:00+00:00,2024-03-27 13:48:00+00:00,long,18507.25,18507.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2024-04-04 18:33:00+00:00,2024-04-04 18:36:00+00:00,long,18298.0,18297.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2024-04-05 14:06:00+00:00,2024-04-05 14:09:00+00:00,short,18188.5,18188.75,1,1,stop,-1.0,-5.0,4.5,-9.5
